amount,txn_hour,user_age,device_change,is_foreign,account_age_days,prev_txn_24h,avg_amount_30d,location_distance_km,label,merchant_cat_entertainment,merchant_cat_food,merchant_cat_grocery,merchant_cat_others,merchant_cat_travel,merchant_cat_utilities,txn_type_merchant,txn_type_p2p,txn_type_recharge
225.0,1,60,0,0,2386,0,2091.0,4.58,0,0,0,0,0,0,1,1,0,0
518.0,10,58,0,0,4706,3,760.0,1.17,0,0,1,0,0,0,0,0,1,0
684.0,10,54,0,0,1551,0,1447.0,6.79,0,0,0,0,0,1,0,0,0,0
913.0,23,59,0,0,3058,1,953.0,4.31,0,0,0,0,0,0,1,1,0,0
2307.0,21,49,0,0,1918,1,86.0,0.04,0,0,0,1,0,0,0,1,0,0
334.0,23,37,0,0,114,0,1779.0,3.99,0,0,0,1,0,0,0,0,1,0
1083.0,5,31,0,0,2152,1,178.0,2.73,0,0,0,0,0,0,1,1,0,0
1346.0,20,55,0,0,428,2,365.0,5.53,0,0,1,0,0,0,0,0,1,0
71.0,20,21,0,0,4599,1,1467.0,11.4,0,0,0,0,0,0,0,1,0,0
1403.0,13,41,0,0,3379,4,3099.0,1.52,0,0,1,0,0,0,0,1,0,0
280.0,9,49,0,0,1217,2,298.0,5.6,0,0,1,0,0,0,0,1,0,0
101.0,7,27,0,0,1945,0,387.0,0.82,0,0,0,0,1,0,0,0,1,0
4461.0,6,60,0,0,957,3,532.0,0.45,0,0,0,0,0,0,0,0,1,0
5056.0,7,33,0,0,145,3,551.0,13.43,0,0,0,1,0,0,0,0,0,0
2478.0,7,56,0,0,609,3,1110.0,9.91,0,0,0,0,1,0,0,0,0,0
545.0,22,49,0,0,2106,0,1359.0,3.48,0,0,0,0,0,0,1,0,0,0
154.0,1,35,0,0,4774,0,3772.0,0.74,0,0,0,1,0,0,0,0,1,0
1729.0,15,42,0,0,4219,0,1305.0,1.53,0,0,0,0,1,0,0,0,1,0
870.0,8,24,0,0,2283,0,285.0,4.19,0,0,1,0,0,0,0,0,0,0
195.0,12,64,0,0,2539,2,355.0,5.28,0,0,1,0,0,0,0,1,0,0
1025.0,22,68,0,0,1954,1,770.0,5.87,0,0,0,0,1,0,0,1,0,0
52.0,11,35,0,0,1827,0,928.0,6.89,0,0,0,0,1,0,0,1,0,0
3601.0,21,64,0,0,4028,0,75.0,1.18,0,0,1,0,0,0,0,0,0,0
449.0,16,35,0,0,2343,1,337.0,1.76,0,0,0,1,0,0,0,0,1,0
1629.0,1,20,0,0,500,3,181.0,0.06,0,0,0,1,0,0,0,0,1,0
560.0,12,18,0,0,2734,1,567.0,0.38,0,0,0,0,0,0,0,1,0,0
1101.0,0,50,0,0,4440,0,148.0,1.85,0,0,0,0,0,0,0,1,0,0
1187.0,18,24,0,0,4878,0,695.0,1.03,0,0,1,0,0,0,0,1,0,0
307.0,10,27,0,0,47,0,504.0,3.39,0,0,0,0,1,0,0,0,1,0
5239.0,4,61,1,0,4710,0,414.0,9.44,0,0,0,0,1,0,0,1,0,0
2238.0,0,25,0,0,4881,1,837.0,6.42,0,0,1,0,0,0,0,1,0,0
4208.0,19,49,0,0,1188,0,431.0,7.02,0,0,0,0,0,0,1,0,1,0
3378.0,12,40,0,0,4266,2,408.0,4.58,0,0,0,0,0,0,0,1,0,0
1367.0,7,34,0,0,594,2,842.0,6.03,0,0,0,1,0,0,0,1,0,0
3824.0,5,31,0,0,1671,1,47.0,0.99,0,0,0,0,0,0,0,0,0,0
139.0,16,34,0,0,2871,1,453.0,4.02,0,1,0,0,0,0,0,1,0,0
327.0,11,42,0,0,512,1,174.0,4.23,0,0,0,1,0,0,0,1,0,0
69.0,0,38,0,0,1144,1,31.0,4.95,0,0,0,0,1,0,0,0,0,0
590.0,2,23,0,0,2077,3,28.0,7.55,0,0,0,0,0,0,1,1,0,0
738.0,13,37,0,0,3011,1,147.0,14.41,0,0,0,1,0,0,0,0,1,0
475.0,7,66,0,0,2210,1,455.0,6.22,0,0,0,1,0,0,0,1,0,0
2647.0,10,37,0,1,3746,1,669.0,12.79,0,0,0,0,0,0,1,1,0,0
662.0,13,43,1,0,3039,2,1271.0,3.99,0,0,0,0,1,0,0,0,0,0
495.0,7,49,0,0,559,6,749.0,1.71,0,0,0,0,0,1,0,0,1,0
1174.0,2,25,0,0,1760,3,587.0,5.37,0,0,0,1,0,0,0,1,0,0
228.0,6,62,0,0,3706,2,30.0,19.8,0,0,0,0,0,0,1,1,0,0
2431.0,18,65,0,1,3226,2,283.0,6.18,0,0,0,1,0,0,0,0,1,0
116.0,3,61,0,0,1405,2,943.0,17.37,0,0,0,0,1,0,0,0,1,0
6501.0,15,46,0,0,2698,1,252.0,0.11,0,0,0,0,0,1,0,1,0,0
2219.0,12,34,0,0,1817,2,722.0,1.49,0,0,0,0,0,0,1,1,0,0
332.0,19,35,0,0,3304,1,741.0,1.6,0,0,1,0,0,0,0,0,1,0
8.0,18,57,0,0,2161,0,291.0,2.78,0,0,0,0,0,0,1,0,1,0
2535.0,4,35,0,0,3931,2,678.0,0.16,0,0,0,1,0,0,0,0,0,0
1841.0,22,28,0,0,651,1,97.0,12.28,0,0,0,0,0,0,0,0,1,0
1958.0,4,62,0,0,4498,0,1039.0,6.14,0,0,1,0,0,0,0,0,1,0
2213.0,19,29,0,0,3336,1,18.0,0.44,0,0,0,0,1,0,0,1,0,0
115.0,23,32,0,0,3855,2,29.0,0.96,0,0,0,0,0,0,1,0,1,0
666.0,3,43,0,0,1613,0,1634.0,4.62,0,0,0,0,0,0,0,0,1,0
185.0,1,20,0,0,4068,1,695.0,11.96,0,0,0,0,1,0,0,1,0,0
2983.0,12,20,0,0,4477,3,142.0,0.46,0,0,0,1,0,0,0,1,0,0
1464.0,15,55,0,0,2126,0,736.0,2.84,0,0,0,1,0,0,0,0,0,0
603.0,21,52,0,0,2031,4,369.0,1.12,0,0,0,1,0,0,0,0,0,0
99.0,1,26,0,0,3288,1,252.0,0.99,0,0,0,0,0,0,1,1,0,0
559.0,18,60,0,0,4727,3,1334.0,6.55,0,0,1,0,0,0,0,0,1,0
590.0,16,57,0,0,2277,3,519.0,8.76,0,0,1,0,0,0,0,1,0,0
1962.0,4,21,0,0,3887,4,278.0,12.7,0,0,0,0,0,1,0,1,0,0
1522.0,17,37,0,0,4000,1,2302.0,5.76,0,0,0,1,0,0,0,0,1,0
3273.0,22,32,0,0,3754,2,144.0,0.34,0,1,0,0,0,0,0,1,0,0
959.0,20,46,0,0,1120,1,123.0,2.21,0,0,0,1,0,0,0,0,1,0
191.0,17,22,0,0,2533,1,82.0,2.91,0,1,0,0,0,0,0,0,1,0
1874.0,7,56,1,0,677,4,106.0,1.61,0,0,0,0,0,0,1,0,0,0
2146.0,14,57,1,0,3055,1,233.0,3.88,0,0,0,0,0,0,1,1,0,0
1236.0,12,24,0,0,1264,1,959.0,1.32,0,0,1,0,0,0,0,0,1,0
2211.0,12,25,0,0,3995,2,891.0,11.48,0,0,0,0,0,0,1,1,0,0
1021.0,15,49,0,0,3345,1,1153.0,0.77,0,0,0,0,0,0,0,0,1,0
1110.0,21,53,0,0,3118,2,686.0,2.78,0,0,0,0,1,0,0,0,1,0
837.0,19,50,0,0,2639,2,543.0,0.67,0,0,0,0,0,0,0,0,0,0
39.0,12,54,0,0,3061,1,452.0,2.22,0,0,0,1,0,0,0,1,0,0
171.0,19,49,0,0,4770,1,1661.0,3.32,0,0,0,0,0,0,1,1,0,0
48.0,1,60,0,0,2307,0,337.0,4.04,0,0,0,0,0,1,0,0,0,0
1518.0,2,53,0,0,3736,0,1777.0,2.01,0,0,0,0,0,0,0,1,0,0
566.0,14,51,0,0,1082,0,258.0,8.29,0,0,0,0,1,0,0,0,1,0
1066.0,22,66,0,0,1228,2,137.0,3.62,0,0,0,0,1,0,0,0,1,0
3572.0,18,42,0,0,1481,1,236.0,24.41,0,0,0,0,0,0,1,0,1,0
430.0,12,61,0,0,1902,1,553.0,0.66,1,0,1,0,0,0,0,1,0,0
792.0,4,49,0,0,3002,1,2082.0,1.01,0,0,0,0,0,1,0,1,0,0
2113.0,21,19,0,0,422,1,156.0,8.09,0,0,0,1,0,0,0,1,0,0
390.0,5,26,0,0,3121,0,694.0,4.04,0,0,1,0,0,0,0,1,0,0
120.0,13,55,0,0,1835,2,196.0,2.23,0,0,0,0,1,0,0,0,1,0
513.0,3,46,0,0,2491,0,906.0,2.64,0,0,0,0,1,0,0,0,1,0
264.0,21,55,0,0,4117,1,500.0,4.15,0,0,0,0,1,0,0,0,0,0
3982.0,18,35,0,0,397,1,1058.0,0.45,0,0,0,1,0,0,0,0,0,0
2476.0,22,39,0,0,1113,1,1551.0,7.24,0,0,0,1,0,0,0,0,0,0
1505.0,6,52,0,0,2976,6,326.0,2.98,0,0,0,1,0,0,0,0,1,0
3077.0,3,32,0,0,1813,1,2227.0,2.66,0,0,1,0,0,0,0,0,1,0
2442.0,1,24,0,0,2527,1,506.0,7.42,0,0,0,1,0,0,0,0,1,0
310.0,6,30,0,0,3208,2,2207.0,4.21,0,0,1,0,0,0,0,1,0,0
3346.0,2,59,0,0,7,1,210.0,7.02,0,0,0,0,0,0,1,1,0,0
1163.0,14,53,0,0,4836,1,1819.0,13.2,0,1,0,0,0,0,0,1,0,0
2471.0,0,33,0,0,99,2,325.0,14.58,0,0,0,0,0,1,0,1,0,0
3396.0,1,58,0,0,1491,1,1111.0,2.8,0,0,0,0,1,0,0,0,0,0
574.0,9,38,0,0,2747,3,2758.0,0.36,0,0,0,0,0,0,0,0,1,0
175.0,15,45,1,0,4226,3,1946.0,0.06,0,0,0,0,0,0,0,1,0,0
388.0,14,27,0,0,4114,0,498.0,6.11,0,1,0,0,0,0,0,0,0,0
836.0,23,36,0,0,4815,0,338.0,0.43,0,0,1,0,0,0,0,1,0,0
2556.0,14,34,0,0,3216,1,759.0,2.47,0,0,0,0,0,0,1,1,0,0
2957.0,13,18,0,0,2316,2,979.0,5.43,0,0,0,0,0,0,0,1,0,0
10.0,21,30,0,0,2412,0,622.0,32.14,0,0,0,1,0,0,0,0,0,0
1072.0,13,53,0,0,1494,0,1510.0,1.26,0,0,0,0,0,0,1,0,1,0
810.0,5,64,0,0,988,4,48.0,0.05,0,0,0,0,1,0,0,0,0,0
377.0,13,59,0,0,4598,1,732.0,0.21,0,0,0,0,1,0,0,0,1,0
192.0,16,37,1,0,2052,1,596.0,1.26,0,0,1,0,0,0,0,0,1,0
618.0,17,58,0,0,4556,1,32.0,24.81,0,0,1,0,0,0,0,0,1,0
4295.0,19,57,0,0,3035,2,10.0,0.4,0,0,0,0,1,0,0,0,1,0
586.0,18,69,0,0,2218,1,745.0,6.92,0,0,1,0,0,0,0,1,0,0
1097.0,16,23,0,0,2857,1,100.0,0.81,0,0,1,0,0,0,0,1,0,0
1821.0,15,40,0,0,3472,1,1171.0,1.14,0,0,0,0,1,0,0,1,0,0
678.0,7,59,0,0,608,1,2385.0,0.45,0,1,0,0,0,0,0,1,0,0
5352.0,6,41,0,0,2596,1,156.0,1.29,0,0,0,0,1,0,0,0,1,0
4923.0,19,69,0,0,1297,1,1282.0,0.61,0,0,0,1,0,0,0,0,0,0
435.0,11,66,0,0,2514,0,716.0,0.09,0,0,1,0,0,0,0,0,1,0
1031.0,8,22,0,0,2395,2,475.0,8.01,0,0,0,0,1,0,0,0,0,0
537.0,13,49,0,0,2951,1,841.0,1.06,0,0,0,1,0,0,0,1,0,0
503.0,19,63,0,0,1910,2,1297.0,0.63,0,1,0,0,0,0,0,0,1,0
56.0,0,34,0,0,2473,1,2823.0,1.59,0,0,0,1,0,0,0,1,0,0
1411.0,9,28,0,0,870,1,864.0,7.01,0,0,0,0,1,0,0,0,0,0
1048.0,16,44,0,0,2678,3,1099.0,1.27,0,0,0,0,0,0,1,0,0,1
79.0,16,21,0,0,252,1,748.0,3.9,0,0,0,1,0,0,0,0,1,0
490.0,16,40,0,0,3897,2,666.0,1.22,0,0,1,0,0,0,0,1,0,0
3583.0,3,40,0,0,99,1,54.0,2.45,0,0,0,0,0,0,1,0,1,0
411.0,16,66,0,0,1313,2,135.0,3.68,0,0,0,0,0,0,1,0,1,0
235.0,17,51,0,0,4859,3,381.0,7.09,0,0,1,0,0,0,0,1,0,0
1008.0,19,38,0,0,4696,0,839.0,1.65,0,0,0,0,1,0,0,0,1,0
6366.0,22,39,0,0,3864,1,63.0,2.96,0,0,1,0,0,0,0,0,0,0
416.0,1,18,0,0,585,0,629.0,5.15,0,0,1,0,0,0,0,0,1,0
1673.0,7,49,0,0,1040,0,11.0,1.61,0,0,0,0,0,0,0,0,1,0
2151.0,12,45,0,0,4205,1,1162.0,1.24,0,0,0,0,1,0,0,0,1,0
407.0,22,35,1,0,4183,3,880.0,4.21,0,0,0,1,0,0,0,0,1,0
1954.0,21,24,0,0,2415,0,588.0,15.22,0,0,1,0,0,0,0,0,1,0
688.0,19,55,0,0,657,1,677.0,12.04,0,0,0,0,1,0,0,1,0,0
1501.0,21,23,0,0,1370,2,2160.0,4.59,0,0,0,1,0,0,0,0,1,0
1506.0,14,31,0,0,3518,1,1898.0,2.74,0,0,1,0,0,0,0,0,1,0
1151.0,19,47,0,0,3341,1,1259.0,4.17,0,0,0,1,0,0,0,0,1,0
142.0,22,61,0,0,4999,0,328.0,8.1,0,1,0,0,0,0,0,0,1,0
2705.0,8,63,0,0,2578,1,91.0,0.49,0,0,0,0,0,0,1,0,0,0
580.0,2,31,0,0,3117,2,310.0,7.6,0,0,0,0,1,0,0,1,0,0
310.0,2,61,0,0,408,1,1115.0,5.37,0,0,0,0,1,0,0,1,0,0
62.0,1,58,0,0,1975,1,755.0,1.57,0,0,0,0,0,0,1,1,0,0
1341.0,0,26,0,0,1312,0,978.0,10.44,0,0,0,0,0,1,0,0,1,0
1698.0,13,48,0,0,3079,0,89.0,0.42,0,0,1,0,0,0,0,1,0,0
25.0,16,19,0,0,276,2,138.0,12.55,0,0,1,0,0,0,0,0,1,0
1076.0,12,35,0,0,2938,0,873.0,2.45,0,0,0,0,0,0,1,1,0,0
385.0,18,22,0,0,4462,0,372.0,8.31,0,0,0,0,1,0,0,0,1,0
1554.0,22,43,0,0,2916,1,369.0,0.84,0,0,1,0,0,0,0,1,0,0
287.0,14,40,0,0,4785,0,399.0,4.19,0,0,0,1,0,0,0,1,0,0
1761.0,13,29,0,0,4698,1,1271.0,0.17,0,0,1,0,0,0,0,0,1,0
733.0,1,31,0,0,3028,1,961.0,1.63,0,0,1,0,0,0,0,1,0,0
4141.0,6,30,0,0,735,0,90.0,8.85,0,0,0,0,0,0,0,1,0,0
222.0,16,52,0,0,136,2,338.0,3.03,0,0,1,0,0,0,0,0,1,0
626.0,17,64,0,0,1754,0,896.0,5.39,0,0,1,0,0,0,0,0,0,0
181.0,5,32,0,0,1786,1,2988.0,8.23,0,0,0,0,0,0,1,0,1,0
3879.0,20,52,0,0,2930,3,1947.0,3.78,0,0,1,0,0,0,0,0,1,0
3148.0,7,69,0,0,4516,1,228.0,4.41,0,0,0,0,0,0,1,1,0,0
447.0,1,36,0,0,24,1,55.0,7.27,0,0,0,0,1,0,0,0,1,0
1618.0,0,32,0,0,1265,1,681.0,0.64,0,0,0,0,1,0,0,0,0,0
2549.0,15,68,0,0,3720,2,417.0,0.37,0,0,0,0,0,0,1,1,0,0
1215.0,6,25,0,0,2561,0,162.0,4.86,0,0,0,0,0,0,0,1,0,0
1131.0,21,40,0,0,2378,1,844.0,18.46,0,0,0,0,1,0,0,0,1,0
415.0,23,30,0,0,3695,0,140.0,5.17,0,0,0,0,0,1,0,0,0,0
147.0,10,40,0,0,3543,3,346.0,6.11,0,0,0,1,0,0,0,1,0,0
3413.0,14,48,0,0,458,2,1266.0,5.37,0,0,0,1,0,0,0,1,0,0
3460.0,12,47,0,0,2790,2,922.0,4.65,0,0,0,1,0,0,0,0,1,0
1504.0,23,59,0,0,4173,1,747.0,1.1,0,0,0,1,0,0,0,1,0,0
621.0,1,19,0,0,3134,0,2137.0,9.17,0,0,0,0,0,0,0,1,0,0
644.0,13,28,0,0,3619,0,107.0,4.29,0,0,0,0,1,0,0,1,0,0
1942.0,23,42,0,0,2223,1,939.0,19.17,0,0,1,0,0,0,0,0,0,0
3411.0,5,46,0,0,1952,1,100.0,0.36,0,0,0,0,0,0,1,0,0,0
3272.0,8,39,0,0,2495,1,117.0,1.77,0,0,0,0,1,0,0,0,1,0
2270.0,6,36,1,0,1671,4,565.0,0.52,0,1,0,0,0,0,0,0,1,0
1541.0,17,26,0,0,1158,1,20.0,9.8,0,0,0,0,1,0,0,1,0,0
132.0,23,58,0,0,2985,0,556.0,8.52,0,0,0,0,1,0,0,1,0,0
264.0,8,55,0,0,4048,1,8.0,7.42,0,0,1,0,0,0,0,0,1,0
3432.0,22,46,0,0,524,0,738.0,5.68,0,0,0,0,1,0,0,0,1,0
1399.0,3,27,0,0,3525,0,299.0,0.56,0,0,0,0,0,1,0,0,1,0
14.0,8,39,0,0,1978,1,70.0,2.6,0,0,0,0,0,0,0,0,1,0
160.0,3,41,0,0,899,0,1214.0,6.1,0,0,0,0,0,0,1,1,0,0
1634.0,11,25,0,0,100,1,395.0,2.24,0,0,0,0,0,0,1,0,1,0
8.0,3,64,0,0,3627,0,470.0,6.33,0,0,0,0,1,0,0,0,1,0
263.0,23,23,0,0,2824,1,375.0,1.68,0,0,1,0,0,0,0,0,1,0
1194.0,19,24,0,0,1677,1,70.0,3.92,0,0,0,0,0,0,1,1,0,0
1766.0,13,37,0,0,4280,1,493.0,2.19,0,0,0,0,0,0,0,0,0,0
1583.0,23,34,0,0,1171,0,876.0,12.72,0,0,0,1,0,0,0,0,1,0
381.0,23,53,0,0,4375,1,1870.0,2.92,0,0,0,0,0,0,0,0,1,0
1868.0,6,25,0,0,2347,1,1154.0,1.69,0,0,1,0,0,0,0,0,0,1
406.0,12,30,0,0,2328,1,66.0,0.29,0,0,0,0,1,0,0,1,0,0
590.0,21,41,0,0,4483,0,145.0,0.79,0,0,0,1,0,0,0,1,0,0
2059.0,7,63,0,0,225,1,37.0,4.16,0,0,1,0,0,0,0,0,1,0
1573.0,22,67,0,0,4494,2,102.0,6.04,0,0,0,1,0,0,0,1,0,0
2838.0,4,48,0,0,4051,2,524.0,15.44,0,0,0,1,0,0,0,1,0,0
1608.0,11,40,0,0,1441,0,199.0,4.54,0,0,1,0,0,0,0,0,1,0
1260.0,12,34,0,0,4951,0,835.0,5.71,0,0,0,0,0,0,0,1,0,0
148.0,19,67,0,0,155,3,26.0,4.84,0,0,0,0,0,0,1,1,0,0
688.0,13,63,0,0,4748,2,1557.0,11.64,0,0,0,0,0,0,0,0,0,0
462.0,17,41,0,0,1070,0,906.0,1.8,0,0,0,1,0,0,0,0,1,0
420.0,23,60,0,0,4807,1,2781.0,4.62,0,0,1,0,0,0,0,0,0,0
5418.0,19,27,0,0,4324,2,2443.0,16.07,0,0,0,0,0,0,1,0,0,0
749.0,3,48,0,0,302,0,945.0,0.04,0,0,0,0,0,0,0,0,1,0
3339.0,20,62,0,0,3216,1,138.0,1.58,0,0,0,0,0,0,1,0,1,0
1496.0,17,37,0,0,2618,1,201.0,7.11,0,0,0,0,1,0,0,0,1,0
2376.0,6,33,0,0,427,0,260.0,3.17,0,0,0,0,0,1,0,0,1,0
1048.0,14,31,0,0,4571,0,445.0,0.92,0,0,0,1,0,0,0,1,0,0
1290.0,20,20,0,0,1438,1,677.0,4.24,0,0,0,0,0,0,1,0,1,0
1017.0,5,47,0,0,1068,1,918.0,3.62,0,0,0,0,0,0,1,0,0,0
326.0,15,35,0,0,2908,1,63.0,3.03,0,0,0,0,0,0,0,0,0,0
1923.0,19,23,0,0,2443,0,754.0,2.09,0,0,0,0,1,0,0,0,1,0
494.0,23,37,0,0,3942,2,49.0,0.27,0,0,0,0,1,0,0,1,0,0
37.0,7,52,0,0,4374,0,1404.0,4.63,0,0,0,0,1,0,0,0,1,0
1555.0,20,36,0,0,1940,0,33.0,3.64,0,0,0,0,1,0,0,1,0,0
292.0,15,43,0,0,2973,2,395.0,4.4,0,0,0,0,0,1,0,0,1,0
4232.0,21,52,0,0,4954,1,436.0,0.01,0,0,0,0,0,0,1,0,0,0
4616.0,15,29,0,0,4031,1,676.0,0.43,0,0,0,0,0,0,1,0,0,0
3695.0,2,25,0,0,3788,2,80.0,0.92,0,0,0,0,1,0,0,1,0,0
693.0,16,54,0,0,738,0,2164.0,2.98,0,0,0,0,0,0,1,0,0,1
23.0,8,66,0,0,2096,2,387.0,8.25,0,0,0,1,0,0,0,0,0,0
3953.0,2,27,0,0,741,1,404.0,1.41,0,0,1,0,0,0,0,0,1,0
838.0,19,38,0,0,1884,2,223.0,8.26,0,0,0,0,1,0,0,0,1,0
5101.0,6,66,0,0,945,1,1214.0,1.34,0,0,0,0,0,0,0,0,1,0
4971.0,17,58,0,0,3782,2,6.0,6.91,0,0,0,0,0,0,1,0,1,0
2876.0,11,62,0,0,1728,1,90.0,10.37,0,0,0,0,1,0,0,1,0,0
523.0,18,59,0,0,1336,0,509.0,8.48,0,0,0,0,0,1,0,0,1,0
729.0,15,46,0,0,2630,1,2761.0,6.7,0,0,0,0,1,0,0,0,1,0
2857.0,21,48,0,0,4003,0,29.0,0.2,0,0,0,0,0,0,1,0,1,0
572.0,23,57,0,0,1557,1,51.0,2.0,0,0,0,0,0,0,0,1,0,0
279.0,16,24,0,0,3631,2,1004.0,1.09,0,0,0,0,1,0,0,0,1,0
1221.0,19,51,0,0,4329,1,1064.0,3.22,0,0,0,1,0,0,0,0,0,0
4127.0,14,51,0,0,4841,0,1818.0,2.19,0,0,1,0,0,0,0,1,0,0
1786.0,0,47,0,0,4881,1,688.0,4.81,0,0,0,1,0,0,0,0,1,0
1266.0,1,21,0,0,4861,0,413.0,4.17,0,0,0,1,0,0,0,0,1,0
153.0,7,58,0,0,711,2,480.0,2.82,0,0,1,0,0,0,0,0,1,0
1432.0,21,47,0,0,1818,0,452.0,7.29,0,0,1,0,0,0,0,0,1,0
6916.0,1,42,0,0,1034,0,2906.0,0.07,0,0,0,0,0,0,1,1,0,0
226.0,18,31,0,0,1361,2,383.0,10.04,0,0,0,0,1,0,0,1,0,0
1096.0,8,41,0,0,2691,2,81.0,0.01,0,0,0,1,0,0,0,0,1,0
3148.0,8,60,0,0,3387,0,274.0,3.01,0,0,0,1,0,0,0,1,0,0
2025.0,12,48,0,0,2128,3,2577.0,10.66,0,0,0,0,0,0,1,1,0,0
1791.0,5,56,0,0,2096,1,447.0,2.71,0,0,0,0,0,0,1,1,0,0
1818.0,14,45,0,0,91,2,304.0,7.05,0,0,0,0,1,0,0,0,0,0
668.0,18,42,0,0,1669,1,298.0,2.58,0,0,0,0,0,0,0,0,0,1
521.0,20,36,0,0,4792,0,7.0,9.52,0,0,0,0,1,0,0,1,0,0
2486.0,14,21,0,0,4006,2,802.0,35.85,0,0,1,0,0,0,0,1,0,0
2492.0,17,51,0,0,4050,1,1031.0,11.43,0,0,0,0,0,0,1,1,0,0
3027.0,6,49,0,0,2124,1,348.0,0.29,0,0,0,0,0,0,0,1,0,0
3667.0,10,42,0,0,3157,0,1650.0,0.8,0,0,1,0,0,0,0,0,1,0
1074.0,7,39,0,0,263,1,1087.0,3.9,0,0,0,1,0,0,0,0,0,1
1044.0,5,45,0,0,4497,1,735.0,16.3,0,0,0,1,0,0,0,1,0,0
2401.0,7,68,0,0,1258,2,973.0,2.61,0,0,1,0,0,0,0,1,0,0
1575.0,1,35,0,0,216,1,1174.0,1.62,0,0,0,0,1,0,0,1,0,0
1816.0,18,24,0,0,1198,3,599.0,16.76,0,0,0,0,0,1,0,0,1,0
2383.0,15,28,0,0,903,3,406.0,6.17,0,0,0,0,0,0,1,1,0,0
3311.0,6,59,0,0,1553,0,107.0,7.36,0,0,1,0,0,0,0,1,0,0
619.0,9,28,0,0,2935,1,415.0,0.59,0,0,1,0,0,0,0,0,1,0
706.0,11,26,0,0,1833,1,639.0,1.52,0,0,0,0,1,0,0,0,0,0
148.0,16,52,0,0,2368,2,2363.0,3.5,0,0,0,0,0,0,1,0,1,0
1295.0,6,54,1,0,1875,0,135.0,6.67,0,0,0,1,0,0,0,0,0,0
55.0,21,40,0,0,2093,0,1132.0,2.13,0,0,0,1,0,0,0,1,0,0
940.0,7,50,0,0,3437,1,220.0,1.14,0,0,0,0,0,0,1,0,0,0
1173.0,6,18,0,0,4974,2,2517.0,2.87,0,0,1,0,0,0,0,1,0,0
506.0,3,37,0,0,904,2,723.0,2.76,0,0,0,0,0,0,0,0,1,0
1340.0,2,22,0,0,4443,3,454.0,10.32,0,0,0,0,1,0,0,1,0,0
46.0,18,46,0,0,2860,3,341.0,13.57,0,0,0,0,0,1,0,0,1,0
57.0,14,43,0,0,2375,0,180.0,0.92,0,0,0,0,0,0,1,0,0,1
2594.0,3,68,0,0,1142,0,1003.0,1.64,0,0,0,0,0,0,0,1,0,0
670.0,8,55,0,0,1104,2,808.0,7.71,0,0,1,0,0,0,0,1,0,0
204.0,12,20,0,0,4697,1,1767.0,1.41,0,0,0,0,1,0,0,0,1,0
1108.0,17,38,0,0,4653,0,728.0,1.54,0,0,0,0,1,0,0,1,0,0
2204.0,20,30,0,0,4852,3,149.0,5.64,0,0,0,1,0,0,0,1,0,0
365.0,15,48,1,0,393,2,919.0,3.58,0,0,0,1,0,0,0,0,0,1
1463.0,0,34,0,0,3360,0,1688.0,6.08,0,0,1,0,0,0,0,1,0,0
134.0,3,52,0,0,1813,1,3722.0,0.38,0,0,1,0,0,0,0,0,1,0
